"X","Y","Org_Result"
-83.361194,37.012252,"GAS"
-83.265194,37.074175,"GAS"
-83.26898,37.079763,"GAS"
-83.271876,37.059755,"GAS"
-83.259815,37.049039,"GAS"
-83.202809,37.081366,"GAS"
-83.204799,37.078582,"GAS"
-83.208783,37.073121,"GAS"
-83.235389,37.053296,"GAS"
-83.2346,37.061953,"GAS"
-83.229204,37.057316,"GAS"
-83.215568,37.054762,"GAS"
-83.241916,37.045973,"GAS"
-83.511572,37.096381,"GAS"
-83.435539,37.157891,"GAS"
-83.439029,37.157965,"GAS"
-83.452995,37.13845,"GAS"
-83.441849,37.113598,"GAS"
-83.261777,37.161311,"GAS"
-83.273341,37.15023,"GAS"
-83.271883,37.156136,"GAS"
-83.279424,37.1524,"GAS"
-83.317425,37.143776,"GAS"
-83.309119,37.144713,"GAS"
-83.306675,37.137477,"GAS"
-83.291532,37.146567,"GAS"
-83.292281,37.139678,"GAS"
-83.279287,37.10824,"GAS"
-83.266324,37.089376,"GAS"
-83.252503,37.091843,"GAS"
-83.257199,37.089788,"GAS"
-83.261211,37.087683,"GAS"
-83.270336,37.100024,"GAS"
-83.270233,37.089743,"GAS"
-83.303428,37.085874,"GAS"
-83.305471,37.093294,"GAS"
-83.239097,37.133375,"GAS"
-83.249555,37.10023,"GAS"
-83.197152,37.107166,"GAS"
-83.206374,37.098582,"GAS"
-83.23971,37.091381,"GAS"
-83.478006,37.207712,"GAS"
-83.430323,37.177725,"GAS"
-83.455055,37.170932,"GAS"
-83.368974,37.241116,"GAS"
-83.394332,37.242722,"GAS"
-83.351276,37.209344,"GAS"
-83.342104,37.199657,"GAS"
-83.33744,37.193776,"GAS"
-83.326722,37.220924,"GAS"
-83.297668,37.200643,"GAS"
-83.303434,37.210103,"GAS"
-83.309443,37.207784,"GAS"
-83.315966,37.205311,"GAS"
-83.330746,37.197209,"GAS"
-83.279115,37.169919,"GAS"
-83.364335,37.297607,"GAS"
-83.340722,37.272709,"GAS"
-83.394751,37.254583,"GAS"
-82.958023,37.072323,"GAS"
-82.902196,37.074709,"GAS"
-83.022053,37.149643,"GAS"
-82.974557,37.145331,"GAS"
-82.923353,37.112204,"GAS"
-82.930217,37.094946,"GAS"
-82.735426,37.14643,"GAS"
-82.718039,37.145194,"GAS"
-82.724557,37.146773,"GAS"
-83.004312,37.188565,"GAS"
-82.734192,37.255081,"GAS"
-86.783585,36.909843,"GAS"
-86.620421,36.891615,"GAS"
-87.053079,36.988624,"GAS"
-83.062755,37.734661,"GAS"
-83.062271,37.739549,"GAS"
-83.047818,37.715798,"GAS"
-83.060359,37.714813,"GAS"
-83.073303,37.715486,"GAS"
-83.075277,37.71621,"GAS"
-83.069086,37.713234,"GAS"
-82.999584,37.854147,"GAS"
-82.566321,37.731384,"GAS"
-82.525556,37.709664,"GAS"
-82.57449,37.709623,"GAS"
-82.575729,37.705163,"GAS"
-82.577437,37.700098,"GAS"
-82.580305,37.696555,"GAS"
-82.510522,37.699204,"GAS"
-82.490772,37.696967,"GAS"
-82.48513,37.697776,"GAS"
-82.60218,37.791023,"GAS"
-82.624196,37.778794,"GAS"
-82.473669,37.82014,"GAS"
-82.472137,37.817628,"GAS"
-82.470777,37.812753,"GAS"
-82.46986,37.809705,"GAS"
-82.484416,37.782771,"GAS"
-82.441246,37.780107,"GAS"
-82.378558,37.798847,"GAS"
-82.383749,37.798133,"GAS"
-82.385484,37.794935,"GAS"
-82.375722,37.770951,"GAS"
-82.588404,37.850644,"GAS"
-82.53203,37.915771,"GAS"
-82.552668,37.889677,"GAS"
-82.544781,37.889002,"GAS"
-82.518237,37.86882,"GAS"
-82.463421,37.871979,"GAS"
-82.587403,37.929554,"GAS"
-82.561813,37.924356,"GAS"
-84.366858,36.636709,"GAS"
-84.363876,36.638357,"GAS"
-84.355729,36.638357,"GAS"
-84.383783,36.783001,"GAS"
-87.232299,37.512194,"GAS"
-87.251381,37.603598,"GAS"
-87.263353,37.603378,"GAS"
-85.736982,37.035119,"GAS"
-85.51435,36.662771,"GAS"
-85.638654,36.692749,"GAS"
-85.580982,36.719472,"GAS"
-85.520642,36.701296,"GAS"
-85.573078,36.687646,"GAS"
-85.564453,36.691221,"GAS"
-83.20912,37.840013,"GAS"
-83.136241,37.868705,"GAS"
-83.172771,37.955957,"GAS"
-83.182605,37.9234,"GAS"
-83.080834,37.932104,"GAS"
-87.219066,37.071336,"GAS"
-87.119837,37.066804,"GAS"
-87.117264,37.0652,"GAS"
-87.106165,37.056086,"GAS"
-87.102739,37.05485,"GAS"
-87.106765,37.058814,"GAS"
-87.110685,37.065222,"GAS"
-87.125794,37.047297,"GAS"
-87.025231,37.067397,"GAS"
-87.318757,37.123301,"GAS"
-87.196915,37.096018,"GAS"
-87.196261,37.096802,"GAS"
-87.111523,37.113371,"GAS"
-87.079526,37.119386,"GAS"
-87.271634,37.248443,"GAS"
-87.291642,37.24656,"GAS"
-87.261515,37.219276,"GAS"
-87.296151,37.214567,"GAS"
-87.30197,37.192151,"GAS"
-87.308857,37.188964,"GAS"
-87.308884,37.186187,"GAS"
-87.305677,37.190075,"GAS"
-87.305677,37.187301,"GAS"
-87.288973,37.195459,"GAS"
-87.299225,37.183019,"GAS"
-87.076455,37.231768,"GAS"
-86.955056,37.171764,"GAS"
-87.257392,37.30206,"GAS"
-87.253437,37.291161,"GAS"
-87.296388,37.287085,"GAS"
-87.301543,37.284201,"GAS"
-87.320443,37.275499,"GAS"
-87.12782,37.48045,"GAS"
-86.954653,37.492489,"GAS"
-86.709262,37.449657,"GAS"
-87.044121,37.532455,"GAS"
-86.807169,37.582217,"GAS"
-86.824671,37.581631,"GAS"
-86.834532,37.663422,"GAS"
-86.852331,37.639238,"GAS"
-86.90517,37.616991,"GAS"
-86.811145,37.586986,"GAS"
-86.806902,37.585503,"GAS"
-83.144815,37.145397,"GAS"
-83.067524,37.133814,"GAS"
-83.066143,37.132879,"GAS"
-83.286939,37.22633,"GAS"
-83.279125,37.227772,"GAS"
-83.245092,37.196798,"GAS"
-83.016121,37.191609,"GAS"
-83.008828,37.190158,"GAS"
-83.010041,37.194123,"GAS"
-83.015042,37.185132,"GAS"
-83.027156,37.179969,"GAS"
-83.023359,37.183059,"GAS"
-83.43746,37.320151,"GAS"
-83.325574,37.266862,"GAS"
-83.331273,37.278882,"GAS"
-83.317598,37.277179,"GAS"
-83.319733,37.271559,"GAS"
-83.324549,37.365798,"GAS"
-82.517611,37.241161,"GAS"
-82.554809,37.246636,"GAS"
-82.311921,37.325918,"GAS"
-82.619261,37.371493,"GAS"
-82.622449,37.384075,"GAS"
-82.584585,37.387693,"GAS"
-82.59351,37.386045,"GAS"
-82.587855,37.39092,"GAS"
-82.613363,37.376962,"GAS"
-82.622218,37.349224,"GAS"
-82.574994,37.376399,"GAS"
-82.577139,37.373533,"GAS"
-82.417872,37.407347,"GAS"
-82.465117,37.411586,"GAS"
-82.474241,37.408428,"GAS"
-82.457538,37.396567,"GAS"
-82.459303,37.371638,"GAS"
-82.492648,37.374186,"GAS"
-82.411055,37.409801,"GAS"
-82.414161,37.398045,"GAS"
-82.399983,37.397803,"GAS"
-82.314602,37.387453,"GAS"
-82.322173,37.3701,"GAS"
-82.317871,37.366804,"GAS"
-82.317633,37.361116,"GAS"
-82.317633,37.361116,"GAS"
-82.260168,37.347224,"GAS"
-82.216252,37.389758,"GAS"
-82.596774,37.494058,"GAS"
-82.548841,37.491672,"GAS"
-82.567976,37.492448,"GAS"
-82.580108,37.483227,"GAS"
-82.523086,37.469102,"GAS"
-82.504305,37.436849,"GAS"
-82.449526,37.47602,"GAS"
-82.475412,37.445469,"GAS"
-82.36894,37.461504,"GAS"
-82.405683,37.449808,"GAS"
-82.373348,37.446677,"GAS"
-82.096554,37.475369,"GAS"
-82.12273,37.459887,"GAS"
-82.585451,37.560037,"GAS"
-82.617233,37.523082,"GAS"
-82.539371,37.578253,"GAS"
-82.547067,37.56907,"GAS"
